Repository,Branch
PrestigeAirport_Frontend,dependabot/npm_and_yarn/next-13.5.0
PrestigeAirport_Frontend,dependabot/npm_and_yarn/next-auth-4.24.5
PrestigeAirport_Frontend,dependabot/npm_and_yarn/postcss-8.4.31
PrestigeAirport_Frontend,dependabot/npm_and_yarn/tar-6.2.1
PrestigeAirport_Frontend,dev_edits
PrestigeAirport_Frontend,dev
PrestigeAirport_Frontend,devsec-dev
PrestigeAirport_Frontend,devsecops-patch-1
PrestigeAirport_Frontend,encryption
PrestigeAirport_Frontend,error-handling
PrestigeAirport_Frontend,feature/aes256-encryption
PrestigeAirport_Frontend,fix/bug
PrestigeAirport_Frontend,fix/db_prod_config
PrestigeAirport_Frontend,fixes
PrestigeAirport_Frontend,fx/appRestart
PrestigeAirport_Frontend,fx/bug-fix
PrestigeAirport_Frontend,fx/fix
PrestigeAirport_Frontend,gkhhcl-fix1/main
PrestigeAirport_Frontend,gkhhgcl-patch-1
PrestigeAirport_Frontend,gkhhgcl-patch-2
PrestigeAirport_Frontend,gkhhgcl-patch-3
myMTNNG_Play,PLAY-1194-playpreprod
myMTNNG_Play,ckeditor-readmore-remove-button
myMTNNG_Play,dependabot/npm_and_yarn/core/ws-8.17.1
myMTNNG_Play,dependabot/npm_and_yarn/libraries/dompurify/socket.io-4.7.5
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/ckeditor_font/js/webpack-5.94.0
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/paragraphs/css/decode-uri-component-0.2.2
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/paragraphs/css/es5-ext-0.10.64
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/paragraphs/css/lodash-4.17.21
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/paragraphs/css/minimist-1.2.8
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/paragraphs/css/multi-7d42451eb5
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/paragraphs/css/multi-411513605d
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/paragraphs/css/multi-d2f6d09699
myMTNNG_Play,dependabot/npm_and_yarn/modules/contrib/paragraphs/css/qs-6.5.3
myMTNNG_Play,flexa_bug
myMTNNG_Play,flexa_order
myMTNNG_Play,flexa-enhancement
myMTNNG_Play,flexa-enhansment
myMTNNG_Play,gtm-test
myMTNNG_Play,header-enrichment-ipification
myMTNNG_Play,main
myMTNNG_Play,my-order-fixes
myMTNNG_Play,play/independence-day
myMTNNG_Play,play/manohar
myMTNNG_Play,play/quick-fix
myMTNNG_Play,play/release-33
myMTNNG_Play,play/release-flexa
myMTNNG_Play,play/sprint-32-arvind
myMTNNG_Play,play/tushar
myMTNNG_Play,playpreprod
myMTNNG_Play,playprod
myMTNNG_Mpulse,MPUL-yelloverse
myMTNNG_Mpulse,cookie_consent_prod
myMTNNG_Mpulse,feature/seo
myMTNNG_Mpulse,fix/seo
myMTNNG_Mpulse,main
myMTNNG_Mpulse,mpulsedev
myMTNNG_Mpulse,mpulsepreprod
myMTNNG_Mpulse,mpulsepreprod_6june
myMTNNG_Mpulse,mpulseprod
myMTNNG_Mpulse,mpulseprod_2july
myMTNNG_Mpulse,mpulseprod_23may
myMTNNG_Mpulse,security-scans
myMTNNG_Mpulse,sprint_23
myMTNNG_Mpulse,sprint_24
myMTNNG_Mpulse,sprint_26
SME-HIVE-Fronted,Trivy
SME-HIVE-Fronted,admin-fe-dev
SME-HIVE-Fronted,admin-fe-prod
SME-HIVE-Fronted,admin-fe-stage
SME-HIVE-Fronted,admin-test
SME-HIVE-Fronted,auth0
SME-HIVE-Fronted,az-admin-fe-prod
SME-HIVE-Fronted,az-fe-prod
SME-HIVE-Fronted,card/cms-add-card
